Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Top Gun: Maverick,"$1,480,082,877","$714,982,877",48.3%,"$765,100,000",51.7%
2,Jurassic World Dominion,"$1,001,136,080","$376,009,080",37.6%,"$625,127,000",62.4%
3,Doctor Strange in the Multiverse of Madness,"$955,775,804","$411,331,607",43%,"$544,444,197",57%
4,Minions: The Rise of Gru,"$928,104,005","$367,885,005",39.6%,"$560,219,000",60.4%
5,The Batman,"$770,836,163","$369,345,583",47.9%,"$401,490,580",52.1%
6,Thor: Love and Thunder,"$760,678,423","$343,255,847",45.1%,"$417,422,576",54.9%
7,Water Gate Bridge,"$626,571,280","$117,294",<0.1%,"$626,453,986",100%
8,Fantastic Beasts: The Secrets of Dumbledore,"$405,161,334","$95,850,844",23.7%,"$309,310,490",76.3%
9,Sonic the Hedgehog 2,"$401,872,904","$190,872,904",47.5%,"$211,000,000",52.5%
10,Uncharted,"$401,748,820","$148,648,820",37%,"$253,100,000",63%
